Clarin,Argentina,315182
La Nacion,Argentina,155433
Diario Popular,Argentina,90402
Ole,Argentina,44822
WirtschaftsBlatt,Austria,34197
Der Standard,Austria,104004
Die Presse,Austria,97091
Kleine Zeitung,Austria,313094
KRONE GESAMT,Austria,928627
KURIER GESAMT,Austria,207614
OÖNachrichten,Austria,134493
Salzburger Nachrichten,Austria,86494
Tiroler Tageszeitung,Austria,105861
Vorarlberger Nachrichten,Austria,69379
Belang van Limburg,Belgium,100143
De Morgen,Belgium,55973
De Standaard,Belgium,95251
De Tijd,Belgium,37448
Dernière Heure/Les Sports,Belgium,63747
Gazet van Antwerpen,Belgium,102100
Grenz Echo,Belgium,12104
Het Laatste Nieuws + De Nieuwe Gazet,Belgium,288818
Het Nieuwsblad + De Gentenaar,Belgium,264148
La Voix (Luxembourg),Belgium,5397
L'Avenir,Belgium,94423
Le Quotidien (Luxembourg),Belgium,6413
Le Soir,Belgium,82598
L'Echo,Belgium,17402
L'Essentiel (Luxembourg),Belgium,91225
Libre Belgique + LB Gazette de Liège,Belgium,42690
Luxemburger Wort (Luxembourg),Belgium,69465
Point 24 (Luxembourg),Belgium,44683
Sud Presse,Belgium,117305
Tageblatt (Luxembourg),Belgium,17929
A Gazeta,Brazil,26341
A Notícia,Brazil,23788
A Tarde,Brazil,42230
A Tribuna,Brazil,63716
A Tribuna (Santos),Brazil,20752
Agora São Paulo,Brazil,92864
Aqui DF,Brazil,32041
Aqui MA,Brazil,36067
Aqui MG,Brazil,41539
Aqui PE,Brazil,24713
Bom Dia,Brazil,18397
Correio,Brazil,34681
Correio Braziliense,Brazil,57300
Correio da Paraíba,Brazil,11974
Correio do Estado,Brazil,12687
Correio do Povo,Brazil,157408
Correio Popular,Brazil,32259
Cruzeiro do Sul,Brazil,24493
Daqui,Brazil,90343
Dez Minutos,Brazil,83210
Diário Catarinense,Brazil,41962
Diário da Região,Brazil,21845
Diário de Pernambuco,Brazil,24052
Diário de S.Paulo,Brazil,41223
Diário de Santa Maria,Brazil,18505
Diário do Amazonas,Brazil,10941
Diário do Nordeste,Brazil,40429
Diário do Pará,Brazil,27483
Diário Gaúcho,Brazil,150744
Diário Popular.,Brazil,13299
Estado de Minas,Brazil,78281
Expresso da Informação,Brazil,84285
Expresso Popular,Brazil,18599
Extra,Brazil,238236
Folha da Região,Brazil,10299
Folha de Londrina,Brazil,33999
Folha de S. Paulo,Brazil,294498
Gazeta de Limeira,Brazil,10678
Gazeta de Piracicaba,Brazil,15877
Gazeta do Povo,Brazil,45046
Hoje em Dia,Brazil,35337
Hora de Santa Catarina,Brazil,30525
Jornal Cinform,Brazil,16669
Jornal da Cidade,Brazil,20530
Jornal da Tarde,Brazil,45265
Jornal de Piracicaba,Brazil,17263
Jornal de Santa Catarina,Brazil,19402
Jornal do Commercio,Brazil,41433
Jornal Já Paraíba,Brazil,13696
Jornal NH,Brazil,40927
Jornal VS,Brazil,14479
Lance!,Brazil,94683
Mais Informação por menos,Brazil,9939
marca.br,Brazil,12076
Meia Hora,Brazil,157654
Na Hora H,Brazil,9637
Notícia Agora,Brazil,31391
Notícia Já,Brazil,29712
O Amarelinho,Brazil,80116
O Dia,Brazil,60057
O Diário do Norte do Paraná,Brazil,12947
O Estado de S. Paulo,Brazil,236370
O Estado do Maranhão,Brazil,9388
O Globo,Brazil,262434
O Liberal,Brazil,14218
O Popular,Brazil,33639
O Povo,Brazil,25114
O Tempo,Brazil,50563
Pioneiro,Brazil,25984
Super Notícia,Brazil,295701
TodoDia,Brazil,15748
Tribuna do Paraná,Brazil,13752
Valor Econômico,Brazil,54628
Zero Hora,Brazil,184663
Toronto Star,Canada,381310
Toronto Sun,Canada,186904
Niagara This Week,Canada,165700
Journal de Quebec,Canada,121261
The Mississauga News,Canada,122828
The Scarborough Mirror,Canada,118124
Brampton Guardian,Canada,116339
The Now Community,Canada,116673
Oshawa This Week,Canada,115745
Spectator,Canada,99391
The North York Mirror,Canada,96030
The Liberal,Canada,82689
Surrey North Delta Leader,Canada,86747
Etobicoke Guardian,Canada,69528
Waterloo Region Record,Canada,60435
Sun (Winnipeg),Canada,43442
Sun (Calgary),Canada,49258
Sun (Edmonton),Canada,51547
People's Daily,China,2316367
Economic Daily,China,701763
Guangming Daily,China,381032
Cankao News,China,2590583
China Youth Daily,China,518932
Aha!,Czech Republic,100397
Blesk,Czech Republic,384991
Deník,Czech Republic,224122
Hospodářské noviny,Czech Republic,44225
Lidové noviny,Czech Republic,49920
Mladá fronta DNES,Czech Republic,239646
Právo,Czech Republic,128404
Sport,Czech Republic,54413
B.T.,Denmark,69839
Berlingske Tidende,Denmark,101121
Børsen,Denmark,72868
Dagbladet Licitationen,Denmark,3456
Ekstra Bladet,Denmark,72986
Information,Denmark,21371
"Jyllands-Posten, Morgenavisen",Denmark,106717
Kristeligt Dagblad,Denmark,26267
Politiken,Denmark,97986
Aamulehti,Finland,131539
Helsingin Sanomat,Finland,383361
Iltalehti,Finland,107052
Ilta-Sanomat,Finland,150351
Kaleva,Finland,78216
Kauppalehti,Finland,70118
Keskisuomalainen,Finland,68880
Maaseudun Tulevaisuus,Finland,83158
Savon Sanomat,Finland,61546
Turun Sanomat,Finland,107199
Aujourd'hui en France,France,173576
Bilto,France,12722
La Croix,France,106151
Les Echos,France,120444
L'Equipe Edition Générale,France,314566
Le Figaro,France,330237
L'Humanité,France,51010
International Herald Tribune,France,217700
Libération,France,118785
Le Monde,France,319022
Paris Courses,France,30954
Paris Turf,France,61961
Tiercé Magazine,France,21510
La Tribune,France,79164
Week-End,France,19856
BILD,Germany,2909682
Frankfurter Allgemeine,Germany,383676
Frankfurter Allgemeine Sonntagszeitung,Germany,381276
Frankfurter Rundschau,Germany,136578
Financial Times Deutschland,Germany,103609
Handelsblatt,Germany,144472
Neues Deutschland,Germany,38198
Süddeutsche Zeitung,Germany,437073
die tageszeitung,Germany,57533
DIE WELT,Germany,260936
WELT am SONNTAG,Germany,412487
Die Zeit,Germany,537629
Apple Daily,Hong Kong,298432
South China Morning Post,Hong Kong,101589
Sunday Morning Post,Hong Kong,79127
The Wall Street Journal Asia,Hong Kong,81748
Blikk,Hungary,192412
Bors,Hungary,87400
Magyar Hírlap,Hungary,14141
Magyar Nemzet,Hungary,48970
Nemzeti Sport,Hungary,67577
Népszabadság,Hungary,74854
Népszava,Hungary,19230
Metro (Metropol),Hungary,290912
Világgazdaság,Hungary,10415
Daily Sakal,India,1501033
Dainik Bhaskar,India,2095421
Dainik Jagran,India,2795965
Eenadu,India,1670750
Hindustan,India,1699489
Lokmat,India,1750303
Malayala Manorama,India,1903331
Rajasthan Patrika,India,1468455
The Hindu,India,1515158
The Times of India,India,3395748
Amar Ujala,India,1459082
Sakshi ,India,1450745
Deccan Chronicle,India,1422824
